model,rounds_played,total_score,avg_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Claude Opus 4.5,10,80,8.0,106,496611,8135.12,1.5,0.9,4685.009433962264,76.74641509433962,,37.77777777777778,
Grok 4 1 Fast Reasoning,10,75,7.5,109,651399,6601.16,2.6,0.7,5976.137614678899,60.56110091743119,,48.944444444444436,
Glm 4.7,10,70,7.0,112,1376016,21416.43,1.0,0.9,12285.857142857143,191.21812500000001,,31.11111111111111,
Gemini 3 Flash Preview High,10,66,6.6,134,2113356,12266.949999999999,1.9,0.6,15771.313432835821,91.54440298507461,,43.37777777777778,
Gpt 5.2 Xhigh,6,37,6.166666666666667,83,825277,30996.97,0.16666666666666666,0.8333333333333334,9943.096385542169,373.4574698795181,,13.76666666666667,
Deepseek R1,10,59,5.9,111,770520,12014.74,2.6,0.9,6941.621621621622,108.2409009009009,,77.8777777777778,
Kimi K2,10,59,5.9,117,1428223,14555.130000000001,2.2,0.8,12207.034188034188,124.40282051282053,,73.87777777777778,
Gpt Oss 120B,10,52,5.2,142,371950,2079.13,2.1,0.5,2619.3661971830984,14.641760563380283,,32.400000000000006,
Gemini 3 Pro Preview High,10,52,5.2,148,768146,9506.68,0.6,0.5,5190.175675675676,64.23432432432432,,31.95555555555556,
Gemini 3 Pro Preview Low,10,47,4.7,139,689775,7669.76,1.3,0.8,4962.410071942446,55.17812949640288,,34.67777777777778,
Gpt 5.2 High,10,44,4.4,150,337404,7481.0,0.5,0.9,2249.36,49.873333333333335,,22.266666666666666,
Grok 4,10,42,4.2,158,190441,15223.869999999999,1.4,0.3,1205.3227848101267,96.3536075949367,,45.955555555555556,
Gpt Oss 20B,10,30,3.0,138,628918,4542.65,4.0,0.7,4557.376811594203,32.9177536231884,,46.0,
