model,rounds_played,total_score,avg_score,total_floored_score,avg_floored_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,counting_output_tokens,total_no_stakes_score,avg_no_stakes_score,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Claude Opus 4.5,78,1128,14.461538461538462,1324,16.974358974358974,756,4333716,86367.64,2.0,0.8333333333333334,3430535,1598.0,20.487179487179485,4537.744708994709,114.24291005291005,25.0,81.38598290598291,0.30717820326480544
Kimi K2,78,804,10.307692307692308,1262,16.17948717948718,801,12281540,101346.76,2.0384615384615383,0.7692307692307693,5918992,1481.0,18.987179487179485,7389.503121098627,126.5252933832709,25.53846153846154,88.44649572649568,0.28874475273089933
Glm 4.7,78,856,10.974358974358974,1220,15.64102564102564,862,19398173,398026.0,1.935897435897436,0.7435897435897436,5245185,1443.0,18.5,6084.901392111369,461.7470997679814,41.5,92.8259829059829,0.44707310066441763
Grok 4 1 Fast Reasoning,78,737,9.448717948717949,1182,15.153846153846153,795,8178655,120364.22,2.5641025641025643,0.717948717948718,4559832,1441.0,18.474358974358974,5735.637735849056,151.40153459119497,25.243589743589745,106.49982905982907,0.23702939212614602
Gpt 5.2 High,78,1158,14.846153846153847,1174,15.051282051282051,1195,3341037,73525.83,0.28205128205128205,0.9487179487179487,3232254,1505.0,19.294871794871796,2704.8150627615064,61.527891213389125,24.62820512820513,36.6017094017094,0.6728703530730433
Gpt 5 Mini Medium,78,942,12.076923076923077,1052,13.487179487179487,1163,3618399,58345.97,1.1666666666666667,0.7051282051282052,2998454,1325.0,16.987179487179485,2578.206362854686,50.16850386930353,39.14102564102564,82.8820512820513,0.4722497215691127
Deepseek R1,78,511,6.551282051282051,1036,13.282051282051283,851,9229131,165334.16,3.1923076923076925,0.6410256410256411,5944454,1331.0,17.064102564102566,6985.257344300822,194.28220916568742,29.62820512820513,115.13504273504273,0.2573343825162574
Gemini 3 Flash Preview Low,78,817,10.474358974358974,1024,13.128205128205128,1207,1581524,12702.02,0.9615384615384616,0.7051282051282052,1389850,1226.0,15.717948717948717,1151.4913007456503,10.523628831814417,29.923076923076923,83.04957264957262,0.36030380372138987
Gpt Oss 120B,78,580,7.435897435897436,1004,12.871794871794872,1041,3190828,24633.15,2.1538461538461537,0.6794871794871795,2250622,1279.0,16.397435897435898,2161.9807877041308,23.662968299711817,46.69230769230769,78.6762393162393,0.5934740666064104
Gpt Oss 20B,78,131,1.6794871794871795,927,11.884615384615385,972,7009392,62397.5,2.9743589743589745,0.5897435897435898,3234713,1206.0,15.461538461538462,3327.894032921811,64.19495884773663,47.57692307692308,88.23948717948717,0.5391795056576799
Claude Haiku 4.5,78,-37,-0.47435897435897434,894,11.461538461538462,848,6973411,57734.39,3.948717948717949,0.5641025641025641,4053200,1198.0,15.35897435897436,4779.7169811320755,68.0830070754717,45.1025641025641,107.38735042735043,0.4199988538973856
