model,rounds_played,total_score,avg_score,total_floored_score,avg_floored_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,counting_output_tokens,total_no_stakes_score,avg_no_stakes_score,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Deepseek V4 Flash 0731,26,389,14.961538461538462,442,17.0,259,7748804,81916.109381,1.9615384615384615,0.8846153846153846,6101255,542.0,20.846153846153847,23556.969111969112,316.2784145984556,,90.07999999999998,
Claude Opus 4.5,78,1083,13.884615384615385,1280,16.41025641025641,800,4333716,86367.64,2.0,0.8333333333333334,3430535,1598.0,20.487179487179485,4288.16875,107.95955,23.653846153846153,75.07829059829061,0.31505573668967773
Kimi K2,78,757,9.705128205128204,1215,15.576923076923077,848,7913754,101346.76,2.0384615384615383,0.7692307692307693,5918992,1481.0,18.987179487179485,6979.943396226415,119.51268867924527,23.076923076923077,82.3071794871795,0.2803755786640415
Qwen3.5 27B Gptq Int4,78,841,10.782051282051283,1180,15.128205128205128,878,8542270,281202.75,2.1153846153846154,0.7564102564102564,6524332,1493.0,19.141025641025642,7430.902050113895,320.2764806378132,14.256410256410257,97.61846153846156,0.1460421525982895
Glm 4.7,78,799,10.243589743589743,1171,15.012820512820513,911,6225437,398026.0,1.935897435897436,0.7435897435897436,5245185,1443.0,18.5,5757.612513721186,436.91108671789243,39.47435897435897,87.5242735042735,0.4510104156697922
Grok 4 1 Fast Reasoning,78,704,9.025641025641026,1152,14.76923076923077,825,8154849,120364.22,2.5641025641025643,0.717948717948718,4559832,1441.0,18.474358974358974,5527.069090909091,145.89602424242423,24.525641025641026,100.59350427350428,0.24380939110102093
Gpt 5.2 High,78,1088,13.948717948717949,1105,14.166666666666666,1264,3341037,73525.83,0.28205128205128205,0.9487179487179487,3232254,1505.0,19.294871794871796,2557.1629746835442,58.16916930379747,24.53846153846154,35.371111111111105,0.6937430226994845
Gemini 3 Flash Preview High,78,786,10.076923076923077,1096,14.051282051282051,1012,16065097,103053.6,1.7435897435897436,0.7307692307692307,13082063,1365.0,17.5,12926.939723320158,101.83162055335968,26.94871794871795,75.41948717948719,0.3573177033753093
Gpt 5 Mini Medium,78,897,11.5,1009,12.935897435897436,1205,3618399,58345.97,1.1666666666666667,0.7051282051282052,2998454,1325.0,16.987179487179485,2488.34356846473,48.419892116182574,37.743589743589745,77.62683760683761,0.4862183093784201
Deepseek R1,78,481,6.166666666666667,1006,12.897435897435898,880,9025316,165334.16,3.1923076923076925,0.6410256410256411,5944454,1331.0,17.064102564102566,6755.061363636363,187.87972727272728,30.44871794871795,108.10461538461543,0.2816597408018822
Gemini 3 Flash Preview Low,78,773,9.91025641025641,981,12.576923076923077,1250,1565144,12702.02,0.9615384615384616,0.7051282051282052,1389850,1226.0,15.717948717948717,1111.88,10.161616,27.653846153846153,76.70717948717949,0.36051183655459657
Gpt Oss 120B,78,538,6.897435897435898,964,12.35897435897436,1081,3190828,24633.15,2.1538461538461537,0.6794871794871795,2250622,1279.0,16.397435897435898,2081.981498612396,22.787372802960224,44.21794871794872,73.31487179487179,0.6031238633502142
Gpt Oss 20B,78,95,1.2179487179487178,893,11.448717948717949,1006,5796976,62397.5,2.9743589743589745,0.5897435897435898,3234713,1206.0,15.461538461538462,3215.420477137177,62.02534791252485,47.46153846153846,82.36393162393163,0.5762417787223267
Claude Haiku 4.5,78,-61,-0.782051282051282,871,11.166666666666666,871,6957027,57734.39,3.948717948717949,0.5641025641025641,4053200,1198.0,15.35897435897436,4653.5017221584385,66.28517795637198,43.679487179487175,101.32666666666665,0.431075931108828
