model,rounds_played,total_score,avg_score,total_floored_score,avg_floored_score,total_turns,total_output_tokens,total_wall_clock,avg_failed_guesses,success_rate,counting_output_tokens,total_no_stakes_score,avg_no_stakes_score,avg_output_tokens_per_turn,wall_clock_per_turn,intra_rule_variance,inter_rule_variance,variance_ratio
Kimi K2,33,753,22.818181818181817,753,22.818181818181817,236,1906733,15226.529999999999,0.5151515151515151,1.0,1595437,822.0,24.90909090909091,6760.326271186441,64.51919491525423,10.666666666666668,10.27474747474748,1.0381439244986232
Glm 4.7,33,740,22.424242424242426,740,22.424242424242426,241,2466550,45797.13,0.6363636363636364,1.0,1319670,801.0,24.272727272727273,5475.809128630705,190.02958506224064,31.727272727272727,24.468686868686866,1.2966479524438574
Claude Opus 4.5,33,730,22.12121212121212,731,22.151515151515152,231,929217,15104.75,0.8787878787878788,0.9696969696969697,902170,816.0,24.727272727272727,3905.4978354978357,65.38852813852814,8.606060606060607,35.56363636363637,0.2419904567143831
Grok 4 1 Fast Reasoning,33,729,22.09090909090909,729,22.09090909090909,241,1019651,14127.78,0.7878787878787878,0.9696969696969697,998382,802.0,24.303030303030305,4142.663900414937,58.621493775933615,14.424242424242424,24.913131313131316,0.5789815115147583
Qwen3.5 27B Gptq Int4,33,724,21.939393939393938,724,21.939393939393938,259,1738243,64327.13,0.6060606060606061,1.0,1738243,823.0,24.939393939393938,6711.3629343629345,248.36729729729728,17.87878787878788,11.751515151515154,1.5214027849406908
Rys Qwen3.5 27B Fp8 Xl (in-progress),33,661,20.03030303030303,661,20.03030303030303,320,1369952,29513.63,0.6363636363636364,1.0,1009504,787.0,23.848484848484848,3154.7,92.23009375000001,10.666666666666666,21.676767676767675,0.49207828518173347
Deepseek R1,33,646,19.575757575757574,648,19.636363636363637,268,1868010,33925.61,1.606060606060606,0.9090909090909091,1787752,776.0,23.515151515151516,6670.7164179104475,126.58809701492538,35.90909090909091,55.72121212121211,0.64444202740918
Gemini 3 Flash Preview High,33,631,19.12121212121212,631,19.12121212121212,347,4552651,27633.27,0.6363636363636364,0.9696969696969697,4310586,766.0,23.21212121212121,12422.438040345822,79.63478386167147,17.242424242424242,14.272727272727272,1.2080679405520172
Gemini 3 Flash Preview Low,33,598,18.12121212121212,609,18.454545454545453,382,442500,3528.67,0.42424242424242425,0.9393939393939394,433413,713.0,21.606060606060606,1134.5890052356021,9.237356020942409,25.93939393939394,32.58383838383837,0.7960815921631847
Gpt 5.2 High,33,579,17.545454545454547,579,17.545454545454547,442,867069,19323.65,0.030303030303030304,1.0,867069,740.0,22.424242424242426,1961.6945701357465,43.718665158371046,27.181818181818183,20.739393939393942,1.3106370543541788
Gpt Oss 20B,33,461,13.969696969696969,572,17.333333333333332,334,1400013,12040.08,1.696969696969697,0.8484848484848485,973175,729.0,22.09090909090909,2913.697604790419,36.04814371257485,68.51515151515152,35.53333333333334,1.9281937574620498
Claude Haiku 4.5,33,386,11.696969696969697,566,17.151515151515152,278,1771026,15135.57,2.5757575757575757,0.8181818181818182,1260121,688.0,20.848484848484848,4532.809352517986,54.4444964028777,56.3939393939394,78.18585858585858,0.7212805539765388
Gpt 5 Mini Medium,33,544,16.484848484848484,554,16.78787878787879,408,921518,14898.99,0.8787878787878788,0.8484848484848485,872493,729.0,22.09090909090909,2138.4632352941176,36.517132352941175,44.75757575757576,62.62828282828284,0.7146543659881938
Gpt Oss 120B,33,435,13.181818181818182,533,16.151515151515152,375,930815,6748.92,1.5757575757575757,0.7878787878787878,719434,661.0,20.03030303030303,1918.4906666666666,17.99712,38.93939393939394,78.11919191919192,0.49846129974915304
